smiles,energy_max_osc
Clc1cccc(/C=N/c2ccc3cc4ccc(/N=C/c5cccc(Cl)c5)cc4nc3c2)c1,3.737
CNCCCCCN(CCCCCC(=O)ON1C(=O)CCC1=O)S(=O)(=O)c1c2oc3c(S(=O)(=O)O)c(N)ccc3c(-c3ccccc3C(=O)[O-])c-2ccc1=N,3.617
Cc1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc1N1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,4.041
CC[N+]1=c2cc3c(cc2C(C)=CC1(C)C)=Cc1ccc(N(C)C)cc1C3(C)C,2.782
Cn1c(=O)c2c(nc(/C=C/C(=O)OC(C)(C)C)n2C)n(C)c1=O,4.124
Cc1cc(/C=C/c2cccc([N+](=O)[O-])c2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,2.833
CCCCCCC(=O)NCCC,5.752
Cc1ccc2oc3cc(NCCN4CCC(C)CC4)c4c(=O)c5ccccc5c(=O)c4c3[nH]c2c1,2.604
CCCCOc1ccc(-c2ccc3c(c2)Sc2cc(-c4ccc(-c5ccc(/C=C(/C#N)C(=O)O)s5)c5nsnc45)ccc2N3CCCC)c(OCCCC)c1,2.59
O=C(O)CCc1c2ccccc2c(CCC(=O)O)c2ccccc12,3.615
Cc1ccc(C2=[N+]3C(=Nc4c5ccccc5c(-c5ccc(C)s5)n4[B-]3(F)F)c3ccccc32)s1,2.045
c1ccc(CSc2nnc3c(n2)OC(c2c4ccccc4cc4ccccc24)Nc2ccccc2-3)cc1,3.692
COCCN1C(=O)C(=O)c2ccccc21,3.488
O=C1C(=O)N(CN2CCN(CC=Cc3ccccc3)CC2)c2cc3c(cc21)OCCO3,3.358
CCCCCCc1cc(-c2ccc3c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)cc4n(CC)c3c2)sc1/C=C(/C#N)C(=O)O,3.159
O=C(NN1C(=O)/C(=C/c2c3ccccc3cc3ccccc23)SC1=S)c1ccncc1,3.22
CCOC(=O)c1cc(C)nc(Cl)c1C#N,4.75
CCN(CC)c1ccc2c(c1)O/C(=C/C=C1C=CC(=[N+](CC)CC)C=C1)C=C2c1ccccc1C(=O)O,2.66
CCCCSC1=C(SCCCC)SC(=C(C(=C2SC(SCCCC)=C(SCCCC)S2)c2ccc(-c3ccc(C=C(C#N)C(=O)O)s3)cc2)c2ccc(-c3ccc(C=C(C#N)C(=O)O)s3)cc2)S1,3.028
CCCN1c2ccc(C3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)cc2Sc2cc(C3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)ccc21,3.275
CCCCN(C(=O)Cn1c2ccccc2c(=O)c2ccccc21)c1ccccc1,3.966
CCC1(CC)c2cc(Br)ccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(-c4cccs4)ccc2-3)C(CC)(CC)c2cc(Br)ccc2-1,4.117
COc1ccc(Cc2nnc3sc(-c4ccc5ccccc5c4)nn23)cc1,4.247
CCN(CC)c1ccc(/C=C/c2sc3ccccc3[n+]2CCCS(=O)(=O)[O-])c(O)c1,4.46
C1=C2B(Nc3ccccc31)c1ccccc1C(c1ccccc1)=C2c1ccccc1,3.649
O=C(O)CN(CC(=O)O)Cc1cc2c(cc1O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21,4.85
COc1cc([N+](=O)[O-])ccc1/N=N/c1cc2c(cc1OC)N(CCCC(=O)ON1C(=O)CCC1=O)C(C)(C)CC2C,3.068
CCN1c2cc3c(cc2C(C)=CC1(C)C)C(c1cocn1)=c1cc2c(cc1O3)=[N+](CC)C(C)(C)C=C2C,2.819
CCCCSCCCC,5.675
N#C/C(=C\c1ccc(-c2ccc(-c3cc4c5c(c3)CCCN5CCC4)c3nsnc23)s1)C(=O)O,2.577
