ANCHORING_GROUP;PEAK_ABSORPTION_SOLUTION;DONOR;STRUCTURE;PEAK_ABSORPTION_METAL_OXIDE;METAL_OXIDE;SOLVENT;AGGREGATION;DOI
benzoic,carboxylic;383;carbazole;CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(cc1)C(=O)O)c1ccc(s1)c1ccc(cc1)C(=O)O;400;TiO2;1,4-dioxane;BATHOCHROMIC;10.1039/C6CP06513A
pyridine;378;carbazole;CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccncc1;400;TiO2;1,4-dioxane;BATHOCHROMIC;10.1039/C6CP06513A
catechol;370;carbazole;CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccc(c(c1)O)O)c1ccc(s1)c1ccc(c(c1)O)O;400;TiO2;1,4-dioxane;BATHOCHROMIC;10.1039/C6CP06513A
benzoic,carboxylic;378;carbazole;CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccc(cc1)C(=O)O;400;TiO2;1,4-dioxane;BATHOCHROMIC;10.1039/C6CP06513A
pyridine,catechol;373;carbazole;CCCCn1c2ccc(cc2c2c1ccc(c2)c1ccc(s1)c1ccncc1)c1ccc(s1)c1ccc(c(c1)O)O;400;TiO2;1,4-dioxane;BATHOCHROMIC;10.1039/C6CP06513A
cyanoacrylic,carboxylic;450;misc;CCCCCCC1=C(SC(\C=C(/C#N)C(O)=O)=C1)C1=CC=C(S1)C1=C(CCCCCC)C=C(S1)C1=CC2=C(S1)C1=C(S2)C=CS1;455;TiO2;1,4-dioxane;UNCHANGED;10.1021/ol902327p
carboxylic;501;bodipy;CC1=CC=[N+]2C1=C(C1=C(C)C=CN1[B-]2(F)F)C1=CC=C(C=C1)C1=CC2=C(C=C1)C1=CC=C(C=C1N2CCCCCCC(O)=O)N(C1=CC=CC=C1)C1=CC=CC=C1;505;TiO2;1,4-dioxane;UNCHANGED;10.1039/c3ra43577f
carboxylic;524;bodipy;CCCC1=C(C)N2C(=C1C)C(=C1C(C)=C(CC)C(C)=[N+]1[B-]2(F)F)C1=CC=C(C=C1)C1=CC2=C(C=C1)C1=CC=C(C=C1N2CCCCCCC(O)=O)N(C1=CC=CC=C1)C1=CC=CC=C1;528;TiO2;1,4-dioxane;UNCHANGED;10.1039/c3ra43577f
carboxylic,sulfonic;430;misc;O=C(O)N(C(=O)O)CC1=CC(C=C(C1(=O))C)=C(c2cc(c(O)c(c2)CN(C(=O)O)C(=O)O)C)c3ccccc3S(=O)(=O)O;435;TiO2;acetic acid;UNCHANGED;10.1016/j.solmat.2004.05.014
cyanoacrylic,carboxylic;535;triphenylamine;CCCCOc1cc(OCCCC)ccc1c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1OCCCC)OCCCC)c1ccc(cc1)c1sc(c2c1cc(s2)C(=O)OCC(CCCC)CC)/C=C(/C(=O)O)\C#N;490;TiO2;acetic acid/dichloromethane (1:1);HYPSOCHROMIC;10.1002/cssc.201701259
cyanoacrylic,carboxylic;585;triphenylamine;CCCCOc1cc(OCCCC)ccc1c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1OCCCC)OCCCC)c1ccc(cc1)c1ccc(s1)c1sc(c2c1cc(s2)C(=O)OCC(CCCC)CC)/C=C(/C(=O)O)\C#N;500;TiO2;acetic acid/dichloromethane (1:1);HYPSOCHROMIC;10.1002/cssc.201701259
cyanoacrylic,carboxylic;605;triphenylamine;CCCCOc1cc(OCCCC)ccc1c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1OCCCC)OCCCC)c1ccc(cc1)c1ccc(o1)c1sc(c2c1cc(s2)C(=O)OCC(CCCC)CC)/C=C(/C(=O)O)\C#N;530;TiO2;acetic acid/dichloromethane (1:1);HYPSOCHROMIC;10.1002/cssc.201701259
cyanoacrylic,carboxylic;570;triphenylamine;CCCCCCc1cc(sc1c1sc(c2c1cc(s2)C(=O)OCC(CCCC)CC)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1OCCCC)OCCCC)c1ccc(cc1)c1ccc(cc1OCCCC)OCCCC;490;TiO2;acetic acid/dichloromethane (1:1);HYPSOCHROMIC;10.1002/cssc.201701259
pyridine;439;triphenylamine;CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc2c(c1)[Si](c1c2sc(c1)c1ccncc1)(CC(CCCC)CC)CC(CCCC)CC;439;TiO2;acetone;UNCHANGED;10.1039/C9DT02600B
carboxylic,rhodanine;482;misc;CCN(c1ccc(c(c1)O)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CC;400;TiO2;acetone;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.045
carboxylic,rhodanine;486;misc;CCCCCCOc1cc(ccc1/C=C/1\SC(=S)N(C1=O)CC(=O)O)N(CC)CC;400;TiO2;acetone;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.045
carboxylic,rhodanine;552;misc;CCCCCCOc1cc(ccc1/C=C(/c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)\C#N)N(CC)CC;400;TiO2;acetone;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.045
carboxylic,rhodanine;558;misc;CCCCCCOc1cc(ccc1/C=C/c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)N(CC)CC;400;TiO2;acetone;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.045
carboxylic;540;misc;CCN(c1ccc(c(c1)O)/C=C/c1sc2c([n+]1CC(=O)O)cccc2)CC.[Br-];500;TiO2;acetone;HYPSOCHROMIC;10.1016/j.jphotochem.2019.03.043
carboxylic;540;misc;CCN(c1ccc(c(c1)OC)/C=C/c1sc2c([n+]1CC(=O)O)cccc2)CC.[Br-];500;TiO2;acetone;HYPSOCHROMIC;10.1016/j.jphotochem.2019.03.043
carboxylic;532;misc;CCOc1cc(ccc1/C=C/c1sc2c([n+]1CC(=O)O)cccc2)N(CC)CC.[Br-];500;TiO2;acetone;HYPSOCHROMIC;10.1016/j.jphotochem.2019.03.043
